Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
EMS Ltd.,"Thu, Sep 21, 2023",211,279.9,32.65,332.4,57.7
R R Kabel Ltd.,"Wed, Sep 20, 2023",1035,1198.05,15.75,1938.8,87.26
Jupiter Life Line Hospitals Ltd.,"Mon, Sep 18, 2023",735,1075.75,46.36,1234.2,67.93
Ratnaveer Precision Engineering Ltd.,"Mon, Sep 11, 2023",98,129.35,31.99,167.32,70.46
Rishabh Instruments Ltd.,"Mon, Sep 11, 2023",441,443.15,0.49,486.25,10.44
Vishnu Prakash R.Punglia Ltd.,"Tue, Sep 5, 2023",99,145.7,47.17,41.52,-58.26
Aeroflex Industries Ltd.,"Thu, Aug 31, 2023",108,163.25,51.16,365.25,238.98
Pyramid Technoplast Ltd.,"Tue, Aug 29, 2023",166,177.65,7.02,175.24,5.36
TVS Supply Chain Solutions Ltd.,"Wed, Aug 23, 2023",197,201,2.03,113.13,-42.56
Concord Biotech Ltd.,"Fri, Aug 18, 2023",741,942.8,27.23,1127.2,52.15
SBFC Finance Ltd.,"Wed, Aug 16, 2023",57,92.2,61.75,92.76,62.6
Yatharth Hospital & Trauma Care Services Ltd.,"Mon, Aug 7, 2023",300,333.85,11.28,817.65,172.75
Netweb Technologies India Ltd.,"Thu, Jul 27, 2023",500,910.4,82.08,4016,703.78
Utkarsh Small Finance Bank Ltd.,"Fri, Jul 21, 2023",25,48,92,13.74,-45
Senco Gold Ltd.,"Fri, Jul 14, 2023",317,405.3,27.85,312.75,97.26
Cyient DLM Ltd.,"Mon, Jul 10, 2023",265,420.6,58.72,417.25,57.49
ideaForge Technology Ltd.,"Fri, Jul 7, 2023",672,1294.95,92.7,732.6,9.06
HMA Agro Industries Ltd.,"Tue, Jul 4, 2023",585,585.65,0.11,23.89,-59.23
IKIO Lighting Ltd.,"Fri, Jun 16, 2023",285,403.85,41.7,161.48,-43.12
Nexus Select Trust,"Fri, May 19, 2023",100,104.29,4.29,157.53,57.53
Mankind Pharma Ltd.,"Tue, May 9, 2023",1080,1080,0,2378.9,120.13
Avalon Technologies Ltd.,"Tue, Apr 18, 2023",436,398,-8.72,1291.2,195.75
Udayshivakumar Infra Ltd.,"Mon, Apr 3, 2023",35,31.5,-10,22.32,-35.66
Global Surfaces Ltd.,"Thu, Mar 23, 2023",140,171.05,22.18,55.84,-60.25
Divgi TorqTransfer Systems Ltd.,"Tue, Mar 14, 2023",590,605.2,2.58,718.65,20.58
Sah Polymers Ltd.,"Thu, Jan 12, 2023",65,89.25,37.31,104.75,40.89
Radiant Cash Management Services Ltd.,"Wed, Jan 4, 2023",94,104.9,11.6,42.43,-54.72
