Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Innova Captab Ltd.,"Fri, Dec 29, 2023",448,541.4,20.85,871.85,93.81
Azad Engineering Ltd.,"Thu, Dec 28, 2023",524,677.5,29.29,2123.7,305.8
RBZ Jewellers Ltd.,"Wed, Dec 27, 2023",100,105,5,133.8,34
Credo Brands Marketing Ltd.,"Wed, Dec 27, 2023",280,312.2,11.5,77.02,-72.36
Happy Forgings Ltd.,"Wed, Dec 27, 2023",850,1030.8,21.27,1417.1,67.01
Muthoot Microfin Ltd.,"Tue, Dec 26, 2023",291,266.15,-8.54,190.22,-34.47
Motisons Jewellers Ltd.,"Tue, Dec 26, 2023",55,103.55,88.27,11.84,115.09
Suraj Estate Developers Ltd.,"Tue, Dec 26, 2023",360,334.5,-7.08,220.72,-38.56
Inox India Ltd.,"Thu, Dec 21, 2023",660,939.95,42.42,1411.4,113.95
India Shelter Finance Corp.Ltd.,"Wed, Dec 20, 2023",493,544.7,10.49,831.8,68.87
DOMS Industries Ltd.,"Wed, Dec 20, 2023",790,1326.05,67.85,2261.4,186.25
Flair Writing Industries Ltd.,"Fri, Dec 1, 2023",304,450.9,48.32,327,7.73
Tata Technologies Ltd.,"Thu, Nov 30, 2023",500,1313,162.6,615.9,23.1
Gandhar Oil Refinery (India) Ltd.,"Thu, Nov 30, 2023",169,301.4,78.34,141.13,-16.48
Fedbank Financial Services Ltd.,"Thu, Nov 30, 2023",140,140.25,0.18,149.51,6.89
Indian Renewable Energy Development Agency Ltd.,"Wed, Nov 29, 2023",32,60,87.5,124.69,289.69
ASK Automotive Ltd.,"Wed, Nov 15, 2023",282,310.1,9.96,425.6,50.71
Protean eGov Technologies Ltd.,"Mon, Nov 13, 2023",792,883,11.49,533.25,-32.57
ESAF Small Finance Bank Ltd.,"Fri, Nov 10, 2023",60,69.05,15.08,28.61,-52.33
Honasa Consumer Ltd.,"Tue, Nov 7, 2023",324,337.1,4.04,348.15,7.27
Cello World Ltd.,"Mon, Nov 6, 2023",648,791.7,22.18,401.65,-38.03
Blue Jet Healthcare Ltd.,"Wed, Nov 1, 2023",346,413.4,19.48,444.8,28.68
IRM Energy Ltd.,"Thu, Oct 26, 2023",505,473.15,-6.31,291.75,-41.94
Plaza Wires Ltd.,"Thu, Oct 12, 2023",54,80.2,48.52,54.66,1.33
Valiant Laboratories Ltd.,"Fri, Oct 6, 2023",140,170.25,21.61,78.22,-45.64
Updater Services Ltd.,"Wed, Oct 4, 2023",300,283.9,-5.37,167.66,-44.03
JSW Infrastructure Ltd.,"Tue, Oct 3, 2023",119,157.3,32.18,272.05,128.61
Manoj Vaibhav Gems 'N' Jewellers Ltd.,"Tue, Oct 3, 2023",215,215.5,0.23,160.23,-25.37
Yatra Online Ltd.,"Thu, Sep 28, 2023",142,135.9,-4.3,97.5,-30.92
Sai Silks (Kalamandir) Ltd.,"Wed, Sep 27, 2023",222,244.9,10.32,108.34,-51.17
Signatureglobal (India) Ltd.,"Wed, Sep 27, 2023",385,458.55,19.1,858.95,122.31
SAMHI Hotels Ltd.,"Fri, Sep 22, 2023",126,143.4,13.81,153.88,22.26
Zaggle Prepaid Ocean Services Ltd.,"Fri, Sep 22, 2023",164,158.35,-3.45,282.48,70.37
