Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Elin Electronics Ltd.,"Fri, Dec 30, 2022",247,227.65,-7.83,118.27,-52.19
KFin Technologies Ltd.,"Thu, Dec 29, 2022",366,363.85,-0.59,857.35,134.34
Abans Holdings Ltd.,"Fri, Dec 23, 2022",270,218.4,-19.11,201.12,-25.56
Landmark Cars Ltd.,"Fri, Dec 23, 2022",506,458.4,-9.41,371.85,-26.71
Sula Vineyards Ltd.,"Thu, Dec 22, 2022",357,331.15,-7.24,165.62,-53.57
Uniparts India Ltd.,"Mon, Dec 12, 2022",577,539.65,-6.47,537.55,-6.59
Dharmaj Crop Guard Ltd.,"Thu, Dec 8, 2022",237,266.3,12.36,262.3,10.44
Keystone Realtors Ltd.,"Thu, Nov 24, 2022",541,556.85,2.93,414.85,-23.42
Inox Green Energy Services Ltd.,"Wed, Nov 23, 2022",65,59.1,-9.08,178.69,175.38
Kaynes Technology India Ltd.,"Tue, Nov 22, 2022",587,689.95,17.54,4049.3,590.12
Archean Chemical Industries Ltd.,"Mon, Nov 21, 2022",407,458.15,12.57,597.5,46.66
Five-Star Business Finance Ltd.,"Mon, Nov 21, 2022",474,490,3.38,469.45,-0.85
Global Health Ltd.,"Wed, Nov 16, 2022",336,415.3,23.6,1193.1,254.78
Bikaji Foods International Ltd.,"Wed, Nov 16, 2022",300,317.45,5.82,658.2,118.98
Fusion Micro Finance Ltd.,"Tue, Nov 15, 2022",368,324.8,-11.74,202.75,-44.9
DCX Systems Ltd.,"Fri, Nov 11, 2022",207,308.8,49.18,196.91,-4.81
Tracxn Technologies Ltd.,"Thu, Oct 20, 2022",80,93.25,16.56,33.42,-57.74
Electronics Mart India Ltd.,"Mon, Oct 17, 2022",59,84.5,43.22,113.53,88.47
Harsha Engineers International Ltd.,"Mon, Sep 26, 2022",330,486.5,47.42,412.25,24.85
Tamilnad Mercantile Bank Ltd.,"Thu, Sep 15, 2022",510,509.65,-0.07,663.5,30.09
Dreamfolks Services Ltd.,"Tue, Sep 6, 2022",326,462.4,41.84,78.12,-76.08
Syrma SGS Technology Ltd.,"Fri, Aug 26, 2022",220,310.5,41.14,1075.2,388.09
Aether Industries Ltd.,"Fri, Jun 3, 2022",642,774.4,20.62,1155.7,80.19
eMudhra Ltd.,"Wed, Jun 1, 2022",256,257.9,0.74,471.2,83.83
Ethos Ltd.,"Mon, May 30, 2022",878,803.1,-8.53,2361.3,168.77
Paradeep Phosphates Ltd.,"Fri, May 27, 2022",42,43.9,4.52,127.63,203.1
Delhivery Ltd.,"Tue, May 24, 2022",487,536.35,10.13,464.7,-4.69
Venus Pipes & Tubes Ltd.,"Tue, May 24, 2022",326,354.35,8.7,1287.2,294.88
Prudent Corporate Advisory Services Ltd.,"Fri, May 20, 2022",630,561.75,-10.83,2740.1,335.87
Life Insurance Corp.of India,"Tue, May 17, 2022",949,875.25,-7.77,780.75,-17.75
Rainbow Children's Medicare Ltd.,"Tue, May 10, 2022",542,450.2,-16.94,1263.2,132.73
Campus Activewear Ltd.,"Mon, May 9, 2022",292,378.9,29.76,243.61,-16.58
Hariom Pipe Industries Ltd.,"Wed, Apr 13, 2022",153,231,50.98,313.55,105.49
Veranda Learning Solutions Ltd.,"Mon, Apr 11, 2022",137,131.25,-4.2,214.34,56.61
Ruchi Soya Industries Ltd.,"Fri, Apr 8, 2022",650,923.45,42.07,441.05,-32.08
Uma Exports Ltd.,"Thu, Apr 7, 2022",68,79.8,17.35,24.61,-63.53
Vedant Fashions Ltd.,"Wed, Feb 16, 2022",866,933.55,7.8,460,-46.89
Adani Wilmar Ltd.,"Tue, Feb 8, 2022",230,268.25,16.63,198.19,-13.85
AGS Transact Technologies Ltd.,"Mon, Jan 31, 2022",175,161.05,-7.97,3.92,-98.58
