Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
CMS Info Systems Ltd.,"Fri, Dec 31, 2021",216,238.2,10.28,298.85,38.33
Supriya Lifescience Ltd.,"Tue, Dec 28, 2021",274,390.85,42.65,675.8,146.81
HP Adhesives Ltd.,"Mon, Dec 27, 2021",274,330.75,20.71,41.03,-25.78
Data Patterns (India) Ltd.,"Fri, Dec 24, 2021",585,755,29.06,4062.5,594.3
Medplus Health Services Ltd.,"Thu, Dec 23, 2021",796,1121.15,40.85,868.9,9.08
Metro Brands Ltd.,"Wed, Dec 22, 2021",500,493.35,-1.33,1027.9,104.73
C.E.Info systems Ltd.,"Tue, Dec 21, 2021",1033,1393.65,34.91,1008.45,-2.28
Shriram Properties Ltd.,"Mon, Dec 20, 2021",118,99.6,-15.59,85.66,-27.37
Rategain Travel Technologies Ltd.,"Fri, Dec 17, 2021",425,340.05,-19.99,618.95,45.38
Anand Rathi Wealth Ltd.,"Tue, Dec 14, 2021",550,583.55,6.1,3529.8,541.1
Tega Industries Ltd.,"Mon, Dec 13, 2021",453,726.05,60.28,1566.8,246.49
Star Health & Allied Insurance Co.Ltd.,"Fri, Dec 10, 2021",900,906.85,0.76,511.2,-43.38
Go Fashion (India) Ltd.,"Tue, Nov 30, 2021",690,1253.7,81.7,272,-60.69
Tarsons Products Ltd.,"Fri, Nov 26, 2021",662,818.4,23.63,214.7,-67.8
Latent View Analytics Ltd.,"Tue, Nov 23, 2021",197,488.75,148.1,294.35,49.44
One 97 Communications Ltd.,"Thu, Nov 18, 2021",2150,1560.8,-27.4,1154.6,-46.32
Sapphire Foods India Ltd.,"Thu, Nov 18, 2021",1180,1211.55,2.67,172.8,-26.76
S.J.S.Enterprises Ltd.,"Mon, Nov 15, 2021",542,510.2,-5.87,1968.6,262.42
Sigachi Industries Ltd.,"Mon, Nov 15, 2021",163,598.5,267.18,21.08,29.26
PB Fintech Ltd.,"Mon, Nov 15, 2021",980,1202.3,22.68,1603.3,63.59
Fino Payments Bank Ltd.,"Fri, Nov 12, 2021",577,543.9,-5.74,125.88,-78.16
FSN E-Commerce Ventures Ltd.,"Wed, Nov 10, 2021",1125,2205.8,96.07,260.65,-76.83
Aditya Birla Sun Life AMC Ltd.,"Mon, Oct 11, 2021",712,699.45,-1.76,1055.1,48.17
Paras Defence & Space Technologies Ltd.,"Fri, Oct 1, 2021",175,492.45,181.4,800.6,815.2
Sansera Engineering Ltd.,"Fri, Sep 24, 2021",744,818.55,10.02,2386.9,220.15
Ami Organics Ltd.,"Tue, Sep 14, 2021",610,935,53.28,2742.2,799.3
Vijaya Diagnostic Centre Ltd.,"Tue, Sep 14, 2021",531,620.1,16.78,1279.2,141.02
Aptus Value Housing Finance India Ltd.,"Tue, Aug 24, 2021",353,346.9,-1.73,274.15,-22.42
Chemplast Sanmar Ltd.,"Tue, Aug 24, 2021",541,535.6,-1,235.03,-56.53
Nuvoco Vistas Corp.Ltd.,"Mon, Aug 23, 2021",570,531.7,-6.72,316.95,-44.51
CarTrade Tech Ltd.,"Fri, Aug 20, 2021",1618,1501.05,-7.23,1892.2,16.81
Krsnaa Diagnostics Ltd.,"Mon, Aug 16, 2021",954,987,3.46,587,-38.61
Devyani International Ltd.,"Mon, Aug 16, 2021",90,123.5,37.22,114.08,26.89
Exxaro Tiles Ltd.,"Mon, Aug 16, 2021",120,132.3,10.25,6.72,-43.17
Windlas Biotech Ltd.,"Mon, Aug 16, 2021",460,407.15,-11.49,772.2,67.66
Rolex Rings Ltd.,"Mon, Aug 9, 2021",900,1167,29.67,145.65,61.61
