Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Glenmark Life Sciences Ltd.,"Fri, Aug 6, 2021",720,748.5,3.96,1098.8,52.6
Tatva Chintan Pharma Chem Ltd.,"Thu, Jul 29, 2021",1083,2312.2,113.5,1268.7,16.73
Zomato Ltd.,"Fri, Jul 23, 2021",76,125.85,65.59,239.98,215.79
G R Infraprojects Ltd.,"Mon, Jul 19, 2021",837,1747.1,108.73,936.2,11.8
Clean Science & Technology Ltd.,"Mon, Jul 19, 2021",900,1585.25,76.14,808.9,-10.03
India Pesticides Ltd.,"Mon, Jul 5, 2021",296,343.15,15.93,167.96,-43.24
Dodla Dairy Ltd.,"Mon, Jun 28, 2021",428,609.9,42.5,1101.2,157.77
Krishna Institute of Medical Sciences Ltd.,"Mon, Jun 28, 2021",825,996.95,20.84,750.1,355
Shyam Metalics & Energy Ltd.,"Thu, Jun 24, 2021",306,376.15,22.92,843.65,175.64
Sona BLW Precision Forgings Ltd.,"Thu, Jun 24, 2021",291,361.2,24.12,584.1,100.67
POWERGRID Infrastructure Investment Trust,"Fri, May 14, 2021",100,102.99,2.99,92.94,-7.06
Macrotech Developers Ltd.,"Mon, Apr 19, 2021",486,465.25,-4.27,879.35,80.97
Barbeque-Nation Hospitality Ltd.,"Wed, Apr 7, 2021",500,587.8,17.56,224.87,-30.81
Nazara Technologies Ltd.,"Tue, Mar 30, 2021",1101,1592,44.6,263.1,-52.09
Kalyan Jewellers India Ltd.,"Fri, Mar 26, 2021",87,75.2,-13.56,361.8,316.03
Suryoday Small Finance Bank Ltd.,"Fri, Mar 26, 2021",305,277.8,-8.92,172.64,-43.39
Craftsman Automation Ltd.,"Thu, Mar 25, 2021",1490,1435.6,-3.65,8688,482.92
Laxmi Organic Industries Ltd.,"Thu, Mar 25, 2021",130,164.45,26.5,155.59,19.42
Anupam Rasayan India Ltd.,"Wed, Mar 24, 2021",555,526.8,-5.08,1359.5,144.63
Easy Trip Planners Ltd.,"Fri, Mar 19, 2021",187,208.45,11.47,7.35,-92.14
MTAR Technologies Ltd.,"Mon, Mar 15, 2021",575,1082.5,88.26,6248.5,987.05
Heranba Industries Ltd.,"Fri, Mar 5, 2021",627,627,0,208.76,-66.69
RailTel Corp.of India Ltd.,"Fri, Feb 26, 2021",94,121.35,29.1,318.5,238.56
Nureca Ltd.,"Thu, Feb 25, 2021",400,645.75,61.44,271.75,-32.15
Brookfield India Real Estate Trust,"Tue, Feb 16, 2021",275,268.93,-2.21,325.48,18.36
Stove Kraft Ltd.,"Fri, Feb 5, 2021",385,445.95,15.83,563.45,46.43
Home First Finance Co.India Ltd.,"Wed, Feb 3, 2021",518,527.55,1.84,1108.2,113.83
Indigo Paints Ltd.,"Tue, Feb 2, 2021",1490,3117.15,109.2,939.1,-37.01
Indian Railway Finance Corp.Ltd.,"Fri, Jan 29, 2021",26,24.8,-4.62,99.36,282.12
Antony Waste Handling Cell Ltd.,"Fri, Jan 1, 2021",315,407.35,29.32,476.5,50.92
